Item,Date,Qty.,Total (₹),
Chicken Biryani (Regular),2018-01-01,42.00,7770.00,
Chicken Biryani (Regular),2018-01-02,16.00,2960.00,
Chicken Biryani (Regular),2018-01-03,28.00,5180.00,
Chicken Biryani (Regular),2018-01-04,29.00,5365.00,
Chicken Biryani (Regular),2018-01-05,44.00,8140.00,
Chicken Biryani (Regular),2018-01-06,32.00,5920.00,
Chicken Biryani (Regular),2018-01-07,66.00,12210.00,
Chicken Biryani (Regular),2018-01-08,23.00,4255.00,
Chicken Biryani (Regular),2018-01-09,33.00,6105.00,
Chicken Biryani (Regular),2018-01-10,65.00,12025.00,
Chicken Biryani (Regular),2018-01-11,16.00,2960.00,
Chicken Biryani (Regular),2018-01-12,43.00,7955.00,
Chicken Biryani (Regular),2018-01-13,36.00,6660.00,
Chicken Biryani (Regular),2018-01-14,32.00,5920.00,
Chicken Biryani (Regular),2018-01-15,17.00,3145.00,
Chicken Biryani (Regular),2018-01-16,25.00,4625.00,
Chicken Biryani (Regular),2018-01-17,24.00,4440.00,
Chicken Biryani (Regular),2018-01-18,30.00,5550.00,
Chicken Biryani (Regular),2018-01-19,39.00,7215.00,
Chicken Biryani (Regular),2018-01-20,35.00,6475.00,
Chicken Biryani (Regular),2018-01-21,46.00,8510.00,
Chicken Biryani (Regular),2018-01-22,21.00,3885.00,
Chicken Biryani (Regular),2018-01-23,20.00,3700.00,
Chicken Biryani (Regular),2018-01-24,20.00,3700.00,
Chicken Biryani (Regular),2018-01-25,20.00,3700.00,
Chicken Biryani (Regular),2018-01-26,44.00,8140.00,
Chicken Biryani (Regular),2018-01-27,35.00,6475.00,
Chicken Biryani (Regular),2018-01-28,52.00,9620.00,
Chicken Biryani (Regular),2018-01-29,21.00,3885.00,
Chicken Biryani (Regular),2018-01-30,34.00,6290.00,
Chicken Biryani (Regular),2018-01-31,26.00,4810.00,
Chicken Biryani (Regular),2018-02-01,29.00,5365.00,
Chicken Biryani (Regular),2018-02-02,36.00,6660.00,
Chicken Biryani (Regular),2018-02-03,54.00,9990.00,
Chicken Biryani (Regular),2018-02-04,63.00,11655.00,
Chicken Biryani (Regular),2018-02-05,25.00,4625.00,
Chicken Biryani (Regular),2018-02-06,20.00,3700.00,
Chicken Biryani (Regular),2018-02-07,39.00,7215.00,
Chicken Biryani (Regular),2018-02-08,28.00,5180.00,
Chicken Biryani (Regular),2018-02-09,50.00,9250.00,
Chicken Biryani (Regular),2018-02-10,43.00,7955.00,
Chicken Biryani (Regular),2018-02-11,53.00,9805.00,
Chicken Biryani (Regular),2018-02-12,21.00,3885.00,
Chicken Biryani (Regular),2018-02-13,21.00,3885.00,
Chicken Biryani (Regular),2018-02-14,25.00,4625.00,
Chicken Biryani (Regular),2018-02-15,26.00,4810.00,
Chicken Biryani (Regular),2018-02-16,38.00,7030.00,
Chicken Biryani (Regular),2018-02-17,52.00,9620.00,
Chicken Biryani (Regular),2018-02-18,54.00,9990.00,
Chicken Biryani (Regular),2018-02-19,21.00,3885.00,
Chicken Biryani (Regular),2018-02-20,31.00,5735.00,
Chicken Biryani (Regular),2018-02-21,32.00,5920.00,
Chicken Biryani (Regular),2018-02-22,30.00,5550.00,
Chicken Biryani (Regular),2018-02-23,36.00,6660.00,
Chicken Biryani (Regular),2018-02-24,65.00,12025.00,
Chicken Biryani (Regular),2018-02-25,58.00,10730.00,
Chicken Biryani (Regular),2018-02-26,28.00,5180.00,
Chicken Biryani (Regular),2018-02-27,27.00,4995.00,
Chicken Biryani (Regular),2018-02-28,34.00,6290.00,
Chicken Biryani (Regular),2018-03-01,29.00,5365.00,
Chicken Biryani (Regular),2018-03-02,58.00,10730.00,
Chicken Biryani (Regular),2018-03-03,49.00,9065.00,
Chicken Biryani (Regular),2018-03-04,58.00,10730.00,
Chicken Biryani (Regular),2018-03-05,28.00,5180.00,
Chicken Biryani (Regular),2018-03-06,34.00,6290.00,
Chicken Biryani (Regular),2018-03-07,35.00,6475.00,
Chicken Biryani (Regular),2018-03-08,21.00,3885.00,
Chicken Biryani (Regular),2018-03-09,47.00,8695.00,
Chicken Biryani (Regular),2018-03-10,47.00,8695.00,
Chicken Biryani (Regular),2018-03-11,69.00,12765.00,
Chicken Biryani (Regular),2018-03-12,30.00,5550.00,
Chicken Biryani (Regular),2018-03-13,39.00,7215.00,
Chicken Biryani (Regular),2018-03-14,32.00,5920.00,
Chicken Biryani (Regular),2018-03-15,42.00,7770.00,
Chicken Biryani (Regular),2018-03-16,54.00,9990.00,
Chicken Biryani (Regular),2018-03-17,28.00,5180.00,
Chicken Biryani (Regular),2018-03-18,61.00,11285.00,
Chicken Biryani (Regular),2018-03-19,22.00,4070.00,
Chicken Biryani (Regular),2018-03-20,17.00,3145.00,
Chicken Biryani (Regular),2018-03-21,39.00,7215.00,
Chicken Biryani (Regular),2018-03-22,28.00,5180.00,
Chicken Biryani (Regular),2018-03-23,56.00,10360.00,
Chicken Biryani (Regular),2018-03-24,40.00,7400.00,
Chicken Biryani (Regular),2018-03-25,45.00,8325.00,
Chicken Biryani (Regular),2018-03-26,25.00,4625.00,
Chicken Biryani (Regular),2018-03-27,25.00,4625.00,
Chicken Biryani (Regular),2018-03-28,36.00,6660.00,
Chicken Biryani (Regular),2018-03-29,30.00,5550.00,
Chicken Biryani (Regular),2018-03-30,58.00,10730.00,
